date,predicted_accidents,lower_ci,upper_ci
2025-01-01,,-628.343021050609,3137.898271082832
2025-01-02,,-943.4433148645969,4052.6054832501477
2025-01-03,,-876.4444199473983,4663.544080830343
2025-01-04,,-1100.3146894771248,4848.323294438314
2025-01-05,,-1376.9723516725658,4913.030460889529
2025-01-06,,-1582.0643742306281,5011.772470105504
2025-01-07,,-2060.8151193546255,5071.743623991608
2025-01-08,,-2590.1258782214372,5337.4364356891065
2025-01-09,,-2590.7533137937653,5886.925927876319
2025-01-10,,-2421.1516356047255,6335.105478538713
2025-01-11,,-2566.149359283444,6420.987583694506
2025-01-12,,-2766.3235950635317,6425.022184550664
2025-01-13,,-2890.77000016681,6481.6706403437465
2025-01-14,,-3240.3110636601314,6458.656545791387
2025-01-15,,-3621.275189769027,6585.857735529862
2025-01-16,,-3551.7938422303973,7019.381866025293
2025-01-17,,-3363.9572523420766,7395.694830437341
2025-01-18,,-3484.223769375837,7440.140384341073
2025-01-19,,-3650.0495930304423,7424.034492798386
2025-01-20,,-3732.002312767925,7471.503413210592
2025-01-21,,-4013.558958208233,7421.527305160857
2025-01-22,,-4319.991794009085,7483.21868223059
2025-01-23,,-4222.119961042761,7846.878303081174
2025-01-24,,-4033.2786929331187,8174.33565655117
2025-01-25,,-4141.48965671863,8192.906275415597
2025-01-26,,-4284.940695074509,8167.194498135357
2025-01-27,,-4337.21798612824,8213.68471478418
2025-01-28,,-4572.051871854635,8153.410644795674
2025-01-29,,-4830.975484895736,8175.898734205923
2025-01-30,,-4720.564101061082,8489.475346060628
2025-01-31,,-4536.8441960779355,8779.325487415314
2025-02-01,,-4637.979865800955,8779.507722633289
2025-02-02,,-4764.774584635825,8748.61755889645
2025-02-03,,-4794.321747328861,8797.006486209162
2025-02-04,,-4993.635328352164,8733.57258458761
2025-02-05,,-5218.855076879702,8730.04777156596
2025-02-06,,-5103.613057126433,9004.776864183119
2025-02-07,,-4927.509490887143,9264.054391287362
2025-02-08,,-5023.942742040643,9250.394797867988
2025-02-09,,-5137.505260000057,9216.593014547652
2025-02-10,,-5148.924827046472,9267.901906490019
2025-02-11,,-5319.847175744924,9204.843452923153
2025-02-12,,-5519.660801782427,9183.074116506978
2025-02-13,,-5403.79695735829,9426.329950231888
2025-02-14,,-5236.269670427928,9660.01865090771
2025-02-15,,-5329.242136134471,9635.641250149476
2025-02-16,,-5431.900525974299,9600.219057102408
2025-02-17,,-5428.575784115024,9654.68071381817
2025-02-18,,-5576.143092569727,9593.855291861444
2025-02-19,,-5756.039248567478,9558.873499003514
2025-02-20,,-5641.986187380774,9775.9312865842
2025-02-21,,-5483.258041184818,9987.821362108405
2025-02-22,,-5573.450421308045,9955.034230323174
2025-02-23,,-5666.917453572303,9918.776103474289
2025-02-24,,-5651.4852330211515,9976.258162743423
2025-02-25,,-5779.488114454072,9918.644144003512
2025-02-26,,-5943.330414689534,9873.918704967613
2025-02-27,,-5832.523228396526,10068.767485284385
2025-02-28,,-5682.440894333209,10261.868896654112
2025-03-01,,-5770.23298561563,10222.456044195853
2025-03-02,,-5855.835583988828,10185.858364945829
2025-03-03,,-5830.4241916851515,10246.057343970308
2025-03-04,,-5941.8348580236725,10192.13800972742
2025-03-05,,-6092.4626261420535,10140.1658142827
2025-03-06,,-5985.738083312802,10315.938174741575
